#N	 Paso 	 t0 	 Theta10 	 Theta20 	 P10 	 P20	tf 	 Theta1f 	 Theta2f 	 P1f 	 P2f	ErrorTheta1 	 ErrorTheta2 	 ErrorP1 	 ErrorP2
100	0.10101	0	0.314159	0.785398	1	0	10	0.413263	-0.885541	-0.97956	-0.15644	0.586737	1.88554	1.97956	1.15644
162	0.0621118	0	0.314159	0.785398	1	0	10	0.413416	-0.886094	-0.979295	-0.156366	0.000371313	0.000624731	0.000270482	0.000470076
263	0.0381679	0	0.314159	0.785398	1	0	10	0.41341	-0.886157	-0.979276	-0.156321	1.39995e-05	7.07209e-05	2.00418e-05	0.00028763
428	0.0234192	0	0.314159	0.785398	1	0	10	0.413409	-0.886162	-0.979275	-0.156316	4.15305e-06	6.21289e-06	7.00426e-08	3.66965e-05
695	0.0144092	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	7.66868e-07	5.20225e-07	2.41417e-07	4.81869e-06
1128	0.00887311	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	1.25817e-07	4.21357e-08	5.70121e-08	6.54362e-07
1832	0.0054615	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	1.95149e-08	3.16925e-09	1.01912e-08	9.08217e-08
2976	0.00336134	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	2.92636e-09	1.98394e-10	1.63869e-09	1.27382e-08
4832	0.00206996	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	4.30752e-10	5.79728e-12	2.50526e-10	1.80038e-09
7847	0.00127453	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	6.29306e-11	1.17755e-12	3.74077e-11	2.56605e-10
12742	0.000784868	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	9.12706e-12	3.37767e-13	5.49151e-12	3.66554e-11
20691	0.000483325	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	1.31269e-12	5.71297e-14	7.93149e-13	5.20701e-12
33598	0.000297646	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	1.85302e-13	1.50341e-15	1.0929e-13	7.28182e-13
54555	0.000183305	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	3.96117e-14	1.3656e-14	2.70959e-14	1.58208e-13
88586	0.000112886	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	2.01415e-15	3.75853e-16	1.08837e-14	7.9903e-14
143844	6.95202e-05	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	3.47777e-14	3.72095e-14	2.86831e-14	1.68151e-13
233572	4.28135e-05	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	2.00072e-14	3.63325e-14	2.58488e-14	6.53429e-14
379269	2.63666e-05	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	2.67211e-14	7.79269e-14	3.54854e-14	5.20257e-14
615848	1.62378e-05	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	6.44529e-14	3.23234e-14	6.97237e-14	3.7146e-13
1000000	1e-05	0	0.314159	0.785398	1	0	10	0.413408	-0.886163	-0.979276	-0.156315	6.45871e-14	1.07243e-13	8.83167e-14	3.87263e-13
