#Tiempo	 Theta1 	 Theta2 	 P1 	 P2 	 x1 	 y1 	 x2 	 y2
0	1.5708	1.5708	0	0	0.5	-3.06162e-17	1.5	-9.18485e-17
0.00070007	1.5708	1.5708	-0.00105011	-0.000350035	0.5	-1.57532e-07	1.5	-2.62553e-07
0.00140014	1.5708	1.5708	-0.00210021	-0.00070007	0.5	-6.30126e-07	1.5	-1.05021e-06
0.00210021	1.57079	1.5708	-0.00315032	-0.00105011	0.5	-1.41778e-06	1.5	-2.36297e-06
0.00280028	1.57079	1.5708	-0.00420042	-0.00140014	0.5	-2.5205e-06	1.5	-4.20084e-06
0.00350035	1.57079	1.5708	-0.00525053	-0.00175018	0.5	-3.93829e-06	1.5	-6.56381e-06
0.00420042	1.57078	1.5708	-0.00630063	-0.00210021	0.5	-5.67113e-06	1.5	-9.45189e-06
0.00490049	1.57078	1.5708	-0.00735074	-0.00245025	0.5	-7.71904e-06	1.5	-1.28651e-05
0.00560056	1.57078	1.5708	-0.00840084	-0.00280028	0.5	-1.0082e-05	1.5	-1.68034e-05
0.00630063	1.57077	1.5708	-0.00945095	-0.00315032	0.5	-1.27601e-05	1.5	-2.12668e-05
0.0070007	1.57076	1.57081	-0.0105011	-0.00350035	0.5	-1.57532e-05	1.5	-2.62553e-05
0.00770077	1.57076	1.57081	-0.0115512	-0.00385039	0.5	-1.90613e-05	1.5	-3.17689e-05
0.00840084	1.57075	1.57081	-0.0126013	-0.00420042	0.5	-2.26845e-05	1.5	-3.78076e-05
0.00910091	1.57074	1.57081	-0.0136514	-0.00455046	0.5	-2.66228e-05	1.5	-4.43714e-05
0.00980098	1.57073	1.57082	-0.0147015	-0.00490049	0.5	-3.08762e-05	1.5	-5.14603e-05
0.0105011	1.57073	1.57082	-0.0157516	-0.00525053	0.5	-3.54446e-05	1.5	-5.90743e-05
0.0112011	1.57072	1.57082	-0.0168017	-0.00560056	0.5	-4.03281e-05	1.5	-6.72134e-05
0.0119012	1.57071	1.57083	-0.0178518	-0.0059506	0.5	-4.55266e-05	1.5	-7.58777e-05
0.0126013	1.57069	1.57083	-0.0189019	-0.00630063	0.5	-5.10402e-05	1.5	-8.5067e-05
0.0133013	1.57068	1.57083	-0.019952	-0.00665067	0.5	-5.68689e-05	1.5	-9.47815e-05
0.0140014	1.57067	1.57084	-0.0210021	-0.0070007	0.5	-6.30126e-05	1.5	-0.000105021
0.0147015	1.57066	1.57084	-0.0220522	-0.00735074	0.5	-6.94714e-05	1.5	-0.000115786
0.0154015	1.57064	1.57085	-0.0231023	-0.00770077	0.5	-7.62452e-05	1.5	-0.000127075
0.0161016	1.57063	1.57085	-0.0241524	-0.00805081	0.5	-8.33342e-05	1.5	-0.00013889
0.0168017	1.57061	1.57086	-0.0252025	-0.00840084	0.5	-9.07381e-05	1.5	-0.00015123
