#Tiempo	 Theta1 	 Theta2 	 P1 	 P2 	 x1 	 y1 	 x2 	 y2
0	1.5708	0.314159	-1	1	0.5	-3.06162e-17	1.15451	-0.475528
0.00150015	1.56905	0.319471	-0.999312	0.996828	0.499999	-0.000873477	1.15703	-0.476448
0.0030003	1.56729	0.324793	-0.998603	0.993631	0.499997	-0.00175383	1.15955	-0.477366
0.00450045	1.56551	0.330125	-0.997871	0.990408	0.499993	-0.00264108	1.16207	-0.478283
0.0060006	1.56373	0.335467	-0.997118	0.98716	0.499988	-0.00353527	1.16458	-0.479199
0.00750075	1.56192	0.340819	-0.996344	0.983887	0.49998	-0.00443642	1.16709	-0.480113
0.0090009	1.56011	0.346182	-0.995548	0.980588	0.499971	-0.00534457	1.1696	-0.481027
0.0105011	1.55828	0.351556	-0.99473	0.977263	0.499961	-0.00625974	1.1721	-0.481938
0.0120012	1.55643	0.356942	-0.99389	0.973914	0.499948	-0.00718197	1.1746	-0.482849
0.0135014	1.55457	0.362338	-0.993029	0.970538	0.499934	-0.00811129	1.1771	-0.483758
0.0150015	1.5527	0.367746	-0.992146	0.967138	0.499918	-0.00904773	1.17959	-0.484665
0.0165017	1.55081	0.373166	-0.991242	0.963712	0.4999	-0.00999134	1.18208	-0.485572
0.0180018	1.54891	0.378598	-0.990315	0.960261	0.49988	-0.0109421	1.18457	-0.486476
0.019502	1.54699	0.384043	-0.989367	0.956784	0.499858	-0.0119002	1.18705	-0.487379
0.0210021	1.54506	0.389499	-0.988398	0.953282	0.499834	-0.0128654	1.18953	-0.488281
0.0225023	1.54312	0.394969	-0.987407	0.949755	0.499808	-0.013838	1.19201	-0.48918
0.0240024	1.54116	0.400452	-0.986394	0.946202	0.49978	-0.014818	1.19448	-0.490078
0.0255026	1.53918	0.405948	-0.985359	0.942624	0.49975	-0.0158053	1.19695	-0.490975
0.0270027	1.53719	0.411457	-0.984304	0.939021	0.499718	-0.0168	1.19941	-0.49187
0.0285029	1.53518	0.41698	-0.983226	0.935393	0.499683	-0.0178022	1.20187	-0.492762
0.030003	1.53316	0.422518	-0.982127	0.931739	0.499646	-0.0188119	1.20432	-0.493653
0.0315032	1.53113	0.428069	-0.981007	0.928061	0.499607	-0.0198291	1.20677	-0.494543
0.0330033	1.52908	0.433635	-0.979865	0.924358	0.499565	-0.0208539	1.20922	-0.49543
