#Tiempo	 Theta1 	 Theta2 	 P1 	 P2 	 x1 	 y1 	 x2 	 y2
0	0.314159	0.314159	0	0	0.154508	-0.475528	0.463525	-1.42658
0.0020002	0.314158	0.31416	-0.000927143	-0.000309048	0.154508	-0.475528	0.463525	-1.42658
0.0040004	0.314156	0.31416	-0.00185428	-0.000618096	0.154507	-0.475529	0.463523	-1.42659
0.0060006	0.314152	0.314162	-0.00278141	-0.000927146	0.154505	-0.475529	0.46352	-1.42659
0.0080008	0.314147	0.314164	-0.00370853	-0.0012362	0.154502	-0.47553	0.463515	-1.42659
0.010001	0.314139	0.314166	-0.00463562	-0.00154525	0.154499	-0.475531	0.46351	-1.42659
0.0120012	0.314131	0.314169	-0.0055627	-0.00185431	0.154495	-0.475533	0.463503	-1.42659
0.0140014	0.31412	0.314172	-0.00648975	-0.00216336	0.15449	-0.475534	0.463495	-1.42659
0.0160016	0.314108	0.314176	-0.00741676	-0.00247243	0.154484	-0.475536	0.463485	-1.4266
0.0180018	0.314095	0.314181	-0.00834374	-0.00278149	0.154478	-0.475538	0.463474	-1.4266
0.020002	0.31408	0.314186	-0.00927068	-0.00309056	0.154471	-0.475541	0.463463	-1.42661
0.0220022	0.314063	0.314191	-0.0101976	-0.00339964	0.154463	-0.475543	0.463449	-1.42661
0.0240024	0.314045	0.314197	-0.0111244	-0.00370872	0.154454	-0.475546	0.463435	-1.42661
0.0260026	0.314025	0.314204	-0.0120512	-0.00401781	0.154445	-0.475549	0.463419	-1.42662
0.0280028	0.314004	0.314211	-0.0129779	-0.0043269	0.154434	-0.475552	0.463402	-1.42662
0.030003	0.31398	0.314219	-0.0139046	-0.004636	0.154423	-0.475556	0.463384	-1.42663
0.0320032	0.313956	0.314227	-0.0148312	-0.00494511	0.154412	-0.47556	0.463364	-1.42664
0.0340034	0.31393	0.314236	-0.0157577	-0.00525423	0.154399	-0.475564	0.463343	-1.42664
0.0360036	0.313902	0.314245	-0.0166842	-0.00556335	0.154386	-0.475568	0.463321	-1.42665
0.0380038	0.313872	0.314255	-0.0176105	-0.00587249	0.154372	-0.475573	0.463298	-1.42666
0.040004	0.313841	0.314265	-0.0185368	-0.00618163	0.154357	-0.475577	0.463274	-1.42667
0.0420042	0.313809	0.314276	-0.019463	-0.00649078	0.154342	-0.475582	0.463248	-1.42667
0.0440044	0.313775	0.314287	-0.0203891	-0.00679995	0.154326	-0.475588	0.463221	-1.42668
0.0460046	0.313739	0.314299	-0.0213151	-0.00710912	0.154309	-0.475593	0.463192	-1.42669
0.0480048	0.313702	0.314311	-0.022241	-0.00741831	0.154291	-0.475599	0.463163	-1.4267
0.050005	0.313663	0.314324	-0.0231668	-0.00772751	0.154272	-0.475605	0.463132	-1.42671
0.0520052	0.313622	0.314338	-0.0240925	-0.00803672	0.154253	-0.475611	0.4631	-1.42672
0.0540054	0.31358	0.314352	-0.025018	-0.00834594	0.154233	-0.475618	0.463066	-1.42673
0.0560056	0.313537	0.314366	-0.0259434	-0.00865518	0.154212	-0.475624	0.463032	-1.42675
0.0580058	0.313491	0.314381	-0.0268687	-0.00896443	0.154191	-0.475631	0.462996	-1.42676
0.060006	0.313445	0.314397	-0.0277939	-0.0092737	0.154169	-0.475639	0.462959	-1.42677
0.0620062	0.313396	0.314413	-0.0287189	-0.00958298	0.154146	-0.475646	0.46292	-1.42678
0.0640064	0.313346	0.314429	-0.0296438	-0.00989228	0.154122	-0.475654	0.46288	-1.42679
0.0660066	0.313295	0.314446	-0.0305686	-0.0102016	0.154097	-0.475662	0.46284	-1.42681
0.0680068	0.313242	0.314464	-0.0314932	-0.0105109	0.154072	-0.47567	0.462797	-1.42682
0.070007	0.313187	0.314482	-0.0324176	-0.0108203	0.154046	-0.475678	0.462754	-1.42683
0.0720072	0.313131	0.3145	-0.0333419	-0.0111296	0.154019	-0.475687	0.462709	-1.42685
