#Tiempo	 Theta1 	 Theta2 	 P1 	 P2 	 x1 	 y1 	 x2 	 y2
0	1.5708	0.785398	0	0	0.5	-3.06162e-17	1.35355	-0.353553
0.00265227	1.57079	0.785399	-0.0039784	-0.000937718	0.5	-2.06448e-06	1.35355	-0.353557
0.00530453	1.57078	0.785401	-0.00795679	-0.00187544	0.5	-8.25793e-06	1.35355	-0.353569
0.0079568	1.57076	0.785404	-0.0119352	-0.00281317	0.5	-1.85804e-05	1.35356	-0.353588
0.0106091	1.57073	0.785409	-0.0159136	-0.00375091	0.5	-3.30321e-05	1.35356	-0.353616
0.0132613	1.57069	0.785414	-0.0198919	-0.00468867	0.5	-5.1613e-05	1.35356	-0.353651
0.0159136	1.57065	0.785422	-0.0238703	-0.00562645	0.5	-7.43235e-05	1.35356	-0.353694
0.0185659	1.57059	0.78543	-0.0278486	-0.00656425	0.5	-0.000101164	1.35356	-0.353744
0.0212181	1.57053	0.78544	-0.0318269	-0.00750209	0.5	-0.000132134	1.35357	-0.353803
0.0238704	1.57046	0.785451	-0.0358052	-0.00843995	0.5	-0.000167234	1.35357	-0.353869
0.0265227	1.57038	0.785463	-0.0397835	-0.00937785	0.5	-0.000206466	1.35358	-0.353943
0.0291749	1.5703	0.785477	-0.0437617	-0.0103158	0.5	-0.000249828	1.35358	-0.354025
0.0318272	1.5702	0.785492	-0.0477399	-0.0112538	0.5	-0.000297322	1.35359	-0.354115
0.0344794	1.5701	0.785508	-0.0517181	-0.0121918	0.5	-0.000348948	1.35359	-0.354212
0.0371317	1.56999	0.785526	-0.0556963	-0.0131299	0.5	-0.000404707	1.3536	-0.354318
0.039784	1.56987	0.785545	-0.0596743	-0.0140681	0.5	-0.000464598	1.3536	-0.354431
0.0424362	1.56974	0.785565	-0.0636524	-0.0150063	0.5	-0.000528624	1.35361	-0.354552
0.0450885	1.5696	0.785587	-0.0676304	-0.0159445	0.5	-0.000596784	1.35362	-0.35468
0.0477408	1.56946	0.78561	-0.0716084	-0.0168829	0.5	-0.000669079	1.35363	-0.354817
0.050393	1.56931	0.785634	-0.0755863	-0.0178213	0.499999	-0.000745511	1.35364	-0.354961
0.0530453	1.56914	0.78566	-0.0795641	-0.0187598	0.499999	-0.000826079	1.35364	-0.355113
0.0556976	1.56897	0.785687	-0.0835419	-0.0196984	0.499999	-0.000910784	1.35365	-0.355273
0.0583498	1.5688	0.785715	-0.0875196	-0.0206371	0.499999	-0.000999628	1.35366	-0.355441
0.0610021	1.56861	0.785745	-0.0914972	-0.0215758	0.499999	-0.00109261	1.35367	-0.355616
0.0636544	1.56842	0.785776	-0.0954748	-0.0225147	0.499999	-0.00118974	1.35368	-0.355799
0.0663066	1.56821	0.785809	-0.0994523	-0.0234537	0.499998	-0.001291	1.3537	-0.35599
0.0689589	1.568	0.785843	-0.10343	-0.0243927	0.499998	-0.00139641	1.35371	-0.356189
0.0716112	1.56778	0.785878	-0.107407	-0.0253319	0.499998	-0.00150596	1.35372	-0.356396
0.0742634	1.56756	0.785915	-0.111384	-0.0262712	0.499997	-0.00161966	1.35373	-0.35661
0.0769157	1.56732	0.785953	-0.115362	-0.0272106	0.499997	-0.0017375	1.35374	-0.356832
0.079568	1.56708	0.785993	-0.119339	-0.0281502	0.499997	-0.00185949	1.35376	-0.357062
0.0822202	1.56683	0.786034	-0.123316	-0.0290898	0.499996	-0.00198562	1.35377	-0.3573
0.0848725	1.56656	0.786076	-0.127293	-0.0300296	0.499996	-0.00211591	1.35378	-0.357545
0.0875248	1.5663	0.78612	-0.131269	-0.0309696	0.499995	-0.00225035	1.3538	-0.357799
0.090177	1.56602	0.786165	-0.135246	-0.0319097	0.499994	-0.00238894	1.35381	-0.35806
0.0928293	1.56573	0.786212	-0.139223	-0.0328499	0.499994	-0.00253168	1.35383	-0.358329
0.0954815	1.56544	0.786261	-0.143199	-0.0337903	0.499993	-0.00267858	1.35384	-0.358605
0.0981338	1.56514	0.786311	-0.147175	-0.0347308	0.499992	-0.00282964	1.35386	-0.35889
0.100786	1.56483	0.786362	-0.151152	-0.0356715	0.499991	-0.00298486	1.35388	-0.359182
0.103438	1.56451	0.786415	-0.155128	-0.0366124	0.49999	-0.00314423	1.35389	-0.359482
0.106091	1.56418	0.786469	-0.159104	-0.0375535	0.499989	-0.00330777	1.35391	-0.35979
0.108743	1.56385	0.786525	-0.163079	-0.0384947	0.499988	-0.00347547	1.35393	-0.360106
0.111395	1.5635	0.786583	-0.167055	-0.0394361	0.499987	-0.00364733	1.35395	-0.360429
0.114047	1.56315	0.786642	-0.171031	-0.0403777	0.499985	-0.00382337	1.35396	-0.36076
0.1167	1.56279	0.786703	-0.175006	-0.0413195	0.499984	-0.00400357	1.35398	-0.361099
0.119352	1.56242	0.786765	-0.178981	-0.0422615	0.499982	-0.00418794	1.354	-0.361446
0.122004	1.56204	0.786829	-0.182956	-0.0432037	0.499981	-0.00437648	1.35402	-0.3618
0.124656	1.56166	0.786895	-0.186931	-0.0441462	0.499979	-0.0045692	1.35404	-0.362162
0.127309	1.56126	0.786962	-0.190906	-0.0450888	0.499977	-0.0047661	1.35406	-0.362532
0.129961	1.56086	0.787031	-0.194881	-0.0460317	0.499975	-0.00496717	1.35408	-0.36291
0.132613	1.56045	0.787101	-0.198855	-0.0469748	0.499973	-0.00517243	1.3541	-0.363296
0.135266	1.56003	0.787173	-0.202829	-0.0479181	0.499971	-0.00538186	1.35412	-0.363689
0.137918	1.55961	0.787247	-0.206803	-0.0488617	0.499969	-0.00559549	1.35414	-0.36409
0.14057	1.55917	0.787323	-0.210777	-0.0498055	0.499966	-0.0058133	1.35417	-0.364499
0.143222	1.55873	0.7874	-0.214751	-0.0507495	0.499964	-0.00603529	1.35419	-0.364915
0.145875	1.55827	0.787479	-0.218724	-0.0516939	0.499961	-0.00626148	1.35421	-0.36534
0.148527	1.55781	0.78756	-0.222697	-0.0526385	0.499958	-0.00649187	1.35423	-0.365772
0.151179	1.55734	0.787643	-0.22667	-0.0535834	0.499955	-0.00672645	1.35426	-0.366212
0.153831	1.55687	0.787728	-0.230643	-0.0545285	0.499951	-0.00696523	1.35428	-0.366659
0.156484	1.55638	0.787814	-0.234615	-0.0554739	0.499948	-0.00720821	1.3543	-0.367115
0.159136	1.55588	0.787902	-0.238588	-0.0564197	0.499944	-0.00745539	1.35433	-0.367578
0.161788	1.55538	0.787992	-0.24256	-0.0573657	0.499941	-0.00770678	1.35435	-0.368049
0.16444	1.55487	0.788084	-0.246531	-0.058312	0.499937	-0.00796238	1.35437	-0.368527
0.167093	1.55435	0.788178	-0.250503	-0.0592587	0.499932	-0.00822219	1.3544	-0.369014
0.169745	1.55382	0.788273	-0.254474	-0.0602057	0.499928	-0.00848621	1.35442	-0.369508
0.172397	1.55329	0.788371	-0.258445	-0.061153	0.499923	-0.00875445	1.35445	-0.37001
0.17505	1.55274	0.788471	-0.262416	-0.0621006	0.499919	-0.00902691	1.35448	-0.370519
0.177702	1.55219	0.788572	-0.266386	-0.0630486	0.499913	-0.0093036	1.3545	-0.371037
0.180354	1.55163	0.788676	-0.270356	-0.0639969	0.499908	-0.0095845	1.35453	-0.371562
0.183006	1.55106	0.788782	-0.274326	-0.0649456	0.499903	-0.00986964	1.35455	-0.372094
0.185659	1.55048	0.788889	-0.278296	-0.0658946	0.499897	-0.010159	1.35458	-0.372635
0.188311	1.54989	0.788999	-0.282265	-0.066844	0.499891	-0.0104526	1.35461	-0.373183
0.190963	1.54929	0.789111	-0.286234	-0.0677938	0.499884	-0.0107504	1.35463	-0.373739
0.193615	1.54869	0.789225	-0.290202	-0.068744	0.499878	-0.0110525	1.35466	-0.374303
0.196268	1.54808	0.789341	-0.29417	-0.0696946	0.499871	-0.0113588	1.35469	-0.374874
0.19892	1.54746	0.789459	-0.298138	-0.0706456	0.499864	-0.0116694	1.35471	-0.375454
0.201572	1.54683	0.789579	-0.302106	-0.071597	0.499856	-0.0119842	1.35474	-0.37604
0.204224	1.54619	0.789702	-0.306073	-0.0725488	0.499849	-0.0123033	1.35477	-0.376635
0.206877	1.54554	0.789827	-0.310039	-0.073501	0.499841	-0.0126266	1.3548	-0.377237
0.209529	1.54489	0.789954	-0.314006	-0.0744537	0.499832	-0.0129542	1.35482	-0.377847
0.212181	1.54422	0.790083	-0.317972	-0.0754069	0.499823	-0.013286	1.35485	-0.378465
